ID,URL
burj al arab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbCdXpW8-QlKb-9VBCJFbKmsIuyFtmrlUW1gEJESSDEYe4oEhzMA
mount rushmore,https://www.gannett-cdn.com/-mm-/e7bc3e7aa16a8bcf00f7c09b95fb9e0ed50e4e41/c=39-0-1998-1473/local/-/media/2016/06/15/USATODAY/USATODAY/636015993899890072-southdakota-mountrushmore.jpg?width=534&height=401&fit=crop
india gate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9X_wPMTBUh9pXLV7v03IhyUrdxjC2EbzvuHM3Inpv0AUs7xil
washington monument,https://www.7continentslist.com/north-america/images/washington-monument.jpg
char minar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx3w79Bzpp45f0CAvUtgbMasKPD8m5HN09R-QMBV5ZbKqSBvQ7
Catherine Palace,https://i2.wp.com/traveluto.com/wp-content/uploads/2017/06/Catherine_Palace.jpg?resize=810%2C540&ssl=1
Cathedral of Christ the Saviour,https://qph.fs.quoracdn.net/main-qimg-00a70d082338e48ca3108ae238770961.webp
cape hatteras lighthouse,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Cape_hatteras_lighthouse_img_0529.jpg/120px-Cape_hatteras_lighthouse_img_0529.jpg
red fort,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrurgGJi_oPFpFB15ukS9N2M5oYjf8R4H9inAfFC_laH1uLrcg-w
Moscow Kremlin,https://i2.wp.com/traveluto.com/wp-content/uploads/2017/06/Moscow_Kremlin.jpg?w=810&ssl=1
white house,https://www.jetpunk.com/img/user-photo-library/b0/b03ff25f51-450.jpg
big ben,https://kmeelbert.files.wordpress.com/2013/11/big-ben.jpg?w=611
colosseum,http://aktiptravel.co.uk/uploads/media/1492415925Famous%20landmarks%20in%20Europe2.jpg
leaning tower of pisa,http://www.leger.co.uk/blog/wp-content/uploads/2015/01/iStock_000015137777_Large.jpg
faisal mosque,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQakX-cae0E7wHcnnfiLZRoSSflroc1oeNZjxpXkVdWcbURZ9Dy
eiffel tower,http://www.leger.co.uk/blog/wp-content/uploads/2016/02/eiffel-tower-1576.jpg
winter place,https://i2.wp.com/traveluto.com/wp-content/uploads/2017/06/Winter_Palace.jpg?w=810&ssl=1
bishan public library,https://cdn.theculturetrip.com/wp-content/uploads/2018/06/512px-bishan_library_mg_9559_for_wiki-333x500.jpg
Kizhi Island, https://i2.wp.com/traveluto.com/wp-content/uploads/2017/06/Kizhi_Island.jpg?w=810&ssl=1
buckinghum palace,https://mediastream.jumeirah.com/webimage/heroactual//globalassets/global/destinations/london/destinations-buckingham-palace-hero.jpg
st basils cathedral,https://i0.wp.com/traveluto.com/wp-content/uploads/2017/06/St_Basils_Cathedral.jpg?w=810&ssl=1
ak orda,https://www.edgekz.com/wp-content/uploads/2014/05/Ak_orda.jpg 
hazrat sultan mosque,https://www.edgekz.com/wp-content/uploads/2014/05/hazrat-sultan-1024x640.jpg
tower bridge,https://i.ytimg.com/vi/5rlRH1wiiTc/maxresdefault.jpg
concert hall,https://www.edgekz.com/wp-content/uploads/2014/05/Kazakhstan-concert-hall-300x199.jpg 
bayterek,https://www.edgekz.com/wp-content/uploads/2014/05/bayterek.jpg
Esplanade - Theatres on the Bay,https://cdn.theculturetrip.com/wp-content/uploads/2016/08/esplanade.jpg                              
Emerald Towers,https://www.edgekz.com/wp-content/uploads/2014/05/emerald-Towers-201x300.jpg
marina bay sands,https://cdn.theculturetrip.com/wp-content/uploads/2018/04/19010398624_08588588f6_z.jpg
arch of triumph,http://landmarkearth.com/media/images/thumbnails/PyongYang.Arch_of_Triumph.jpg
vatican,https://timedotcom.files.wordpress.com/2015/09/vatican.jpg
Rŭngnado May First Stadium,http://landmarkearth.com/media/images/thumbnails/Arirang_Mass_Games_01.JPG 
eiffel tower,http://webquesttravel.weebly.com/uploads/1/5/5/3/15531306/9784519_orig.jpg?0
spanish steps,"https://media.cntraveler.com/photos/561d1bd4b52105b4334b9932/4:3/w_480,c_limit/spanish-steps-rome-cr-getty.jpg"
tower of juche idea,http://landmarkearth.com/media/images/thumbnails/Tower.of.Juche.Idea.Pyongyang.North.Korea.jpg    
castle st. Angelo,https://images.musement.com/cover/0001/69/castel-sant-angelo-and-the-bernini-s-marble-angels_header-68532.jpeg?w=1200&h=630&q=60&fit=crop
temple of heaven,http://www.famous-historic-buildings.org.uk/images/Temple_of_Heaven.JPG?673 
galleria borghese,https://www.wantedinrome.com/i/preview/storage/uploads/2018/12/galleria-borghese-open-late-picasso-rome.jpg
sacre coeur basilica,https://lonelyplanetimages.imgix.net/a/g/hi/t/7ad4233f75ec81e3a9a38897ee57353d-basilique-du-sacre-coeur.jpg 
The Great Wall of china,http://www.famous-historic-buildings.org.uk/images/Great_Wall.JPG?893 
Namsan Seoul Tower,https://static.interestingengineering.com/images/MARCH/sizes/N_Seoul_Tower_a1_resize_md.jpg       
Taipei 101,https://www.topchinatravel.com/pic/china-tour-pic/taiwan/taipei-101-01.jpg
kim II sung square,http://landmarkearth.com/media/images/thumbnails/KimIlSung.square.jpg
Nanjing Greenland Square Zifeng Tower,https://www.topchinatravel.com/pic/china-tour-pic/nanjing/nanjing-greenland-square-zifeng-tower-01.jpg
arc de triomphe,https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/37736/SITours/skip-the-line-arc-de-triomphe-including-terrace-access-in-paris-344443.jpg
the pantheon,https://www.10thingstodoandsee.com/wp-content/uploads/2017/05/The-Pantheon-in-Rome-696x465.jpg 
cathedral of strasbourg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Strasbourg_Cathedral_Exterior_-_Diliff.jpg/250px-Strasbourg_Cathedral_Exterior_-_Diliff.jpg
trevi fountain,https://upload.wikimedia.org/wikipedia/commons/7/7e/Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg
shanghai tower,http://www.orangesmile.com/ru/foto/sky-towers/shanghai-tower-china-632m_s.jpg
burj khalifa,http://www.orangesmile.com/ru/foto/sky-towers/burj-khalifa-tower-dubai-900m_s.jpg
notre dame cathedral,https://st.depositphotos.com/1004999/1318/i/950/depositphotos_13184173-stock-photo-notre-dame-cathedral-in-paris.jpg 
Shanghai World Financial Center,https://www.topchinatravel.com/pic/china-tour-pic/shanghai/shanghai-world-financial-center-01.jpg   
Shanghai Jin Mao Tower,https://www.topchinatravel.com/pic/china-tour-pic/shanghai/shanghai-jin-mao-tower-01.jpg
Great Mosque of Kufa,https://media-cdn.tripadvisor.com/media/photo-s/05/dd/13/62/kufa-mosque.jpg      
Tianjin Radio and Television Tower,https://www.topchinatravel.com/pic/china-tour-pic/tianjin/tianjin-radio-and-television-tower-01.jpg
Imam Hussein's Shrine,https://media-cdn.tripadvisor.com/media/photo-s/05/e2/e1/fc/shrine.jpg
Hong Kong International Finance Center,https://www.topchinatravel.com/pic/china-tour-pic/hongkong/hong-kong-international-finance-center-01.jpg
parthenon temple,https://cdn.britannica.com/s:500x350/22/99622-004-4DECDA90.jpg  
canton tower,http://www.orangesmile.com/ru/foto/sky-towers/canton-tower-guangzhou-1900ft_s.jpg
sanctuary of delphi,https://www.alaturka.info/images/delphi-apollon-heiligtum.JPG
jin mao tower,http://www.orangesmile.com/ru/foto/sky-towers/jin-mao-tower-shanghai-1400ft_s.jpg
oriental tower,http://www.orangesmile.com/ru/foto/sky-towers/oriental-pearl-china-1500ft_s.jpg
macau sky tower,http://www.orangesmile.com/ru/foto/sky-towers/macau-tower-1400ft_s.jpg
cn tower,http://www.orangesmile.com/ru/foto/sky-towers/cn-tower-toronto-1800ft_s.jpg
icc tower,http://www.orangesmile.com/ru/foto/sky-towers/international-commerce-centre-hong-hong-1300ft_s.jpg
epidaurus theatre,https://www.ancient-greece.org/images/ancient-sites/epidauros/large/01.jpg
statue of liberty,https://www.nps.gov/stli/planyourvisit/images/Liberty-statue-with-manhattan_1.jpg?maxwidth=1200&maxheight=1200&autorotate=false
burj khalifa,https://media.gettyimages.com/photos/the-burj-dubai-the-worlds-tallest-skyscraper-is-illuminated-at-night-picture-id93387851
empire state building,https://graylinenewyork.com/files/7515/1843/2729/ben-dumond-empire-state-building-new-york.jpg
empire state building,https://newyorkyimby.com/wp-content/uploads/2017/12/View-of-the-Empire-State-Building-image-by-Andrew-Campbell-Nelson.jpg
statue of liberty,https://img.grouponcdn.com/deal/eGiKS4hBYbbhM68amiFk/Xc-2048x1229/v1/c700x420.jpg
burj khalifa,https://media.gettyimages.com/photos/general-view-of-burj-khalifa-on-november-9-2016-in-dubai-united-arab-picture-id621959440
burj khalifa,https://media.gettyimages.com/photos/picture-taken-on-december-31-shows-a-laser-show-at-burj-khalifa-the-picture-id900107796
sacre coeur basilica,https://lonelyplanetimages.imgix.net/a/g/hi/t/7ad4233f75ec81e3a9a38897ee57353d-basilique-du-sacre-coeur.jpg
